timestamp,device,event,detail
1721200188.0859592,mouse,move,"(1664, 456)"
1721200188.0924478,mouse,move,"(1664, 457)"
1721200188.1183796,mouse,move,"(1663, 457)"
1721200188.1420188,mouse,move,"(1662, 457)"
1721200188.1431913,mouse,move,"(1660, 457)"
1721200188.15241,mouse,move,"(1659, 457)"
1721200188.1620228,mouse,move,"(1658, 457)"
1721200188.1694183,mouse,move,"(1657, 457)"
1721200188.1865013,mouse,move,"(1656, 457)"
1721200188.2180538,mouse,move,"(1655, 457)"
1721200188.2180538,mouse,move,"(1654, 457)"
1721200188.229803,mouse,move,"(1653, 457)"
1721200188.2482347,mouse,move,"(1652, 457)"
1721200188.266419,mouse,move,"(1651, 457)"
1721200188.2931862,mouse,move,"(1650, 457)"
1721200188.3220751,mouse,move,"(1649, 457)"
1721200188.3441427,mouse,move,"(1648, 457)"
1721200188.3839378,mouse,move,"(1647, 457)"
1721200188.4353285,mouse,move,"(1646, 457)"
1721200188.4497974,mouse,move,"(1646, 456)"
1721200188.4687102,mouse,move,"(1646, 455)"
1721200188.480362,mouse,move,"(1646, 454)"
1721200188.5046446,mouse,move,"(1646, 453)"
1721200188.5046446,mouse,move,"(1646, 452)"
1721200188.5086281,mouse,move,"(1646, 451)"
1721200188.5143268,mouse,move,"(1646, 450)"
1721200188.5183249,mouse,move,"(1646, 449)"
1721200188.5247102,mouse,move,"(1646, 448)"
1721200188.5298185,mouse,move,"(1646, 447)"
1721200188.534364,mouse,move,"(1646, 446)"
1721200188.5383708,mouse,move,"(1646, 445)"
1721200188.5424511,mouse,move,"(1646, 444)"
1721200188.5464435,mouse,move,"(1646, 443)"
1721200188.549411,mouse,move,"(1646, 442)"
1721200188.5539508,mouse,move,"(1646, 441)"
1721200188.5559452,mouse,move,"(1647, 440)"
1721200188.5579405,mouse,move,"(1647, 439)"
1721200188.5791745,mouse,move,"(1647, 438)"
1721200188.5791745,mouse,move,"(1649, 430)"
1721200188.5801718,mouse,move,"(1649, 429)"
1721200188.5822265,mouse,move,"(1650, 428)"
1721200188.5862195,mouse,move,"(1650, 427)"
1721200188.5862195,mouse,move,"(1650, 426)"
1721200188.5882146,mouse,move,"(1651, 424)"
1721200188.5902088,mouse,move,"(1651, 422)"
1721200188.5917096,mouse,move,"(1652, 420)"
1721200188.595053,mouse,move,"(1652, 418)"
1721200188.5960014,mouse,move,"(1652, 416)"
1721200188.597996,mouse,move,"(1653, 414)"
1721200188.5999904,mouse,move,"(1653, 412)"
1721200188.602261,mouse,move,"(1654, 410)"
1721200188.604688,mouse,move,"(1654, 408)"
1721200188.606682,mouse,move,"(1655, 406)"
1721200188.6086771,mouse,move,"(1656, 404)"
1721200188.6096747,mouse,move,"(1656, 402)"
1721200188.612191,mouse,move,"(1656, 400)"
1721200188.6146345,mouse,move,"(1657, 398)"
1721200188.6166284,mouse,move,"(1657, 396)"
1721200188.618623,mouse,move,"(1658, 394)"
1721200188.619621,mouse,move,"(1658, 391)"
1721200188.6221373,mouse,move,"(1659, 389)"
1721200188.6241477,mouse,move,"(1659, 387)"
1721200188.6261425,mouse,move,"(1660, 384)"
1721200188.6286585,mouse,move,"(1660, 382)"
1721200188.6485715,mouse,move,"(1663, 359)"
1721200188.649555,mouse,move,"(1663, 357)"
1721200188.6520839,mouse,move,"(1663, 355)"
1721200188.657392,mouse,move,"(1663, 353)"
1721200188.657392,mouse,move,"(1663, 351)"
1721200188.6583595,mouse,move,"(1663, 349)"
1721200188.660354,mouse,move,"(1663, 347)"
1721200188.6624103,mouse,move,"(1663, 345)"
1721200188.6644056,mouse,move,"(1663, 343)"
1721200188.6664217,mouse,move,"(1664, 341)"
1721200188.6684191,mouse,move,"(1664, 339)"
1721200188.669392,mouse,move,"(1664, 337)"
1721200188.6719406,mouse,move,"(1664, 335)"
1721200188.6740568,mouse,move,"(1664, 333)"
1721200188.6760516,mouse,move,"(1664, 331)"
1721200188.6780462,mouse,move,"(1664, 329)"
1721200188.6800418,mouse,move,"(1664, 327)"
1721200188.68254,mouse,move,"(1664, 325)"
1721200188.6845655,mouse,move,"(1664, 323)"
1721200188.6865308,mouse,move,"(1664, 321)"
1721200188.6885262,mouse,move,"(1664, 320)"
1721200188.6895237,mouse,move,"(1664, 318)"
1721200188.692044,mouse,move,"(1664, 317)"
1721200188.6940525,mouse,move,"(1664, 315)"
1721200188.6960473,mouse,move,"(1664, 314)"
1721200188.6980417,mouse,move,"(1664, 313)"
1721200188.7000365,mouse,move,"(1664, 312)"
1721200188.7021222,mouse,move,"(1664, 311)"
1721200188.7212613,mouse,move,"(1664, 302)"
1721200188.7224095,mouse,move,"(1664, 301)"
1721200188.7244365,mouse,move,"(1664, 300)"
1721200188.7279086,mouse,move,"(1664, 299)"
1721200188.7289267,mouse,move,"(1665, 298)"
1721200188.7299244,mouse,move,"(1665, 297)"
1721200188.7331896,mouse,move,"(1665, 296)"
1721200188.7341895,mouse,move,"(1665, 295)"
1721200188.7361836,mouse,move,"(1665, 294)"
1721200188.7401726,mouse,move,"(1665, 293)"
1721200188.7437978,mouse,move,"(1665, 292)"
1721200188.7497957,mouse,move,"(1665, 291)"
1721200188.754699,mouse,move,"(1665, 290)"
1721200188.7596867,mouse,move,"(1665, 289)"
1721200188.764534,mouse,move,"(1665, 288)"
1721200188.7685304,mouse,move,"(1665, 287)"
1721200188.7946494,mouse,move,"(1665, 286)"
1721200188.7946494,mouse,move,"(1664, 281)"
1721200188.7986393,mouse,move,"(1663, 280)"
1721200188.8021805,mouse,move,"(1663, 279)"
1721200188.8046584,mouse,move,"(1662, 279)"
1721200188.8066673,mouse,move,"(1662, 278)"
1721200188.8096447,mouse,move,"(1662, 277)"
1721200188.812198,mouse,move,"(1661, 277)"
1721200188.8144965,mouse,move,"(1661, 276)"
1721200188.8164914,mouse,move,"(1661, 275)"
1721200188.8194833,mouse,move,"(1660, 274)"
1721200188.8220015,mouse,move,"(1660, 273)"
1721200188.8262672,mouse,move,"(1659, 272)"
1721200188.8287897,mouse,move,"(1659, 271)"
1721200188.832321,mouse,move,"(1658, 270)"
1721200188.8365097,mouse,move,"(1657, 269)"
1721200188.8385308,mouse,move,"(1657, 268)"
1721200188.839502,mouse,move,"(1657, 267)"
1721200188.8423283,mouse,move,"(1656, 267)"
1721200188.84434,mouse,move,"(1656, 266)"
1721200188.8463328,mouse,move,"(1655, 265)"
1721200188.8691587,mouse,move,"(1654, 264)"
1721200188.8691587,mouse,move,"(1649, 258)"
1721200188.871179,mouse,move,"(1648, 257)"
1721200188.8724189,mouse,move,"(1648, 256)"
1721200188.8765438,mouse,move,"(1647, 256)"
1721200188.8765438,mouse,move,"(1646, 255)"
1721200188.8785682,mouse,move,"(1645, 254)"
1721200188.8795352,mouse,move,"(1645, 253)"
1721200188.8820515,mouse,move,"(1644, 253)"
1721200188.8840685,mouse,move,"(1643, 252)"
1721200188.8860548,mouse,move,"(1642, 251)"
1721200188.8880386,mouse,move,"(1641, 251)"
1721200188.8900337,mouse,move,"(1641, 250)"
1721200188.8921177,mouse,move,"(1640, 249)"
1721200188.8944638,mouse,move,"(1639, 249)"
1721200188.896459,mouse,move,"(1638, 248)"
1721200188.8984525,mouse,move,"(1637, 247)"
1721200188.8994508,mouse,move,"(1636, 246)"
1721200188.9041753,mouse,move,"(1635, 245)"
1721200188.9061701,mouse,move,"(1634, 244)"
1721200188.9081652,mouse,move,"(1633, 244)"
1721200188.9101596,mouse,move,"(1633, 243)"
1721200188.9122355,mouse,move,"(1632, 242)"
1721200188.9145255,mouse,move,"(1631, 242)"
1721200188.9165204,mouse,move,"(1630, 241)"
1721200188.9395466,mouse,move,"(1629, 240)"
1721200188.9395466,mouse,move,"(1623, 236)"
1721200188.9420834,mouse,move,"(1622, 235)"
1721200188.947208,mouse,move,"(1621, 234)"
1721200188.9526827,mouse,move,"(1620, 234)"
1721200188.9546793,mouse,move,"(1620, 233)"
1721200188.9566734,mouse,move,"(1619, 233)"
1721200188.9642284,mouse,move,"(1618, 232)"
1721200188.9701982,mouse,move,"(1617, 232)"
1721200188.9746623,mouse,move,"(1617, 231)"
1721200188.978652,mouse,move,"(1616, 231)"
1721200188.990149,mouse,move,"(1615, 230)"
1721200189.0112226,mouse,move,"(1614, 229)"
1721200189.0197892,mouse,move,"(1614, 228)"
1721200189.034725,mouse,move,"(1614, 227)"
1721200189.036719,mouse,move,"(1613, 227)"
1721200189.0486784,mouse,move,"(1613, 226)"
1721200189.056192,mouse,move,"(1613, 225)"
1721200189.08587,mouse,move,"(1613, 224)"
1721200189.08587,mouse,move,"(1613, 222)"
1721200189.0943913,mouse,move,"(1613, 221)"
1721200189.1139045,mouse,move,"(1613, 220)"
1721200189.1220179,mouse,move,"(1612, 220)"
1721200189.1596234,mouse,move,"(1612, 219)"
1721200189.16122,mouse,move,"(1609, 219)"
1721200189.1622183,mouse,move,"(1609, 218)"
1721200189.164661,mouse,move,"(1608, 218)"
1721200189.1696408,mouse,move,"(1607, 218)"
1721200189.17225,mouse,move,"(1606, 218)"
1721200189.1765678,mouse,move,"(1605, 218)"
1721200189.178558,mouse,move,"(1604, 218)"
1721200189.1821578,mouse,move,"(1603, 218)"
1721200189.1845798,mouse,move,"(1602, 218)"
1721200189.1865547,mouse,move,"(1601, 218)"
1721200189.1885471,mouse,move,"(1600, 218)"
1721200189.1895442,mouse,move,"(1599, 218)"
1721200189.1920917,mouse,move,"(1598, 218)"
1721200189.1943257,mouse,move,"(1597, 218)"
1721200189.196323,mouse,move,"(1596, 218)"
1721200189.1982903,mouse,move,"(1595, 218)"
1721200189.2002852,mouse,move,"(1594, 218)"
1721200189.2017877,mouse,move,"(1592, 218)"
1721200189.2041686,mouse,move,"(1591, 218)"
1721200189.2061634,mouse,move,"(1589, 218)"
1721200189.2081575,mouse,move,"(1587, 218)"
1721200189.2101517,mouse,move,"(1585, 218)"
1721200189.2123623,mouse,move,"(1583, 218)"
1721200189.232291,mouse,move,"(1581, 218)"
1721200189.232291,mouse,move,"(1558, 217)"
1721200189.2337744,mouse,move,"(1555, 217)"
1721200189.2367358,mouse,move,"(1552, 217)"
1721200189.2397285,mouse,move,"(1549, 217)"
1721200189.2397285,mouse,move,"(1546, 217)"
1721200189.242265,mouse,move,"(1543, 217)"
1721200189.2444515,mouse,move,"(1540, 217)"
1721200189.2464464,mouse,move,"(1537, 217)"
1721200189.2484598,mouse,move,"(1533, 217)"
1721200189.2494383,mouse,move,"(1529, 217)"
1721200189.252033,mouse,move,"(1525, 217)"
1721200189.2540293,mouse,move,"(1522, 217)"
1721200189.2560236,mouse,move,"(1518, 217)"
1721200189.2580187,mouse,move,"(1514, 217)"
1721200189.2600129,mouse,move,"(1510, 216)"
1721200189.2625155,mouse,move,"(1506, 216)"
1721200189.2645128,mouse,move,"(1502, 216)"
1721200189.2665083,mouse,move,"(1498, 216)"
1721200189.268502,mouse,move,"(1494, 216)"
1721200189.2694995,mouse,move,"(1489, 216)"
1721200189.2720184,mouse,move,"(1485, 216)"
1721200189.2740154,mouse,move,"(1480, 216)"
1721200189.2760098,mouse,move,"(1475, 216)"
1721200189.2780056,mouse,move,"(1470, 216)"
1721200189.279999,mouse,move,"(1466, 216)"
1721200189.2825003,mouse,move,"(1461, 216)"
1721200189.2844985,mouse,move,"(1456, 216)"
1721200189.2864916,mouse,move,"(1451, 216)"
1721200189.2884872,mouse,move,"(1446, 216)"
1721200189.289484,mouse,move,"(1441, 216)"
1721200189.2920187,mouse,move,"(1436, 216)"
1721200189.2940211,mouse,move,"(1431, 216)"
1721200189.296016,mouse,move,"(1426, 216)"
1721200189.2980096,mouse,move,"(1421, 216)"
1721200189.3000052,mouse,move,"(1416, 216)"
1721200189.3210034,mouse,move,"(1410, 216)"
1721200189.322123,mouse,move,"(1357, 217)"
1721200189.322123,mouse,move,"(1351, 217)"
1721200189.3244426,mouse,move,"(1345, 217)"
1721200189.3284118,mouse,move,"(1338, 217)"
1721200189.329637,mouse,move,"(1332, 217)"
1721200189.329637,mouse,move,"(1325, 217)"
1721200189.3321524,mouse,move,"(1319, 217)"
1721200189.334633,mouse,move,"(1313, 217)"
1721200189.3366268,mouse,move,"(1307, 217)"
1721200189.3386219,mouse,move,"(1300, 217)"
1721200189.3396199,mouse,move,"(1294, 218)"
1721200189.3421679,mouse,move,"(1287, 218)"
1721200189.3442018,mouse,move,"(1280, 218)"
1721200189.346194,mouse,move,"(1274, 218)"
1721200189.348166,mouse,move,"(1267, 218)"
1721200189.3501604,mouse,move,"(1261, 218)"
1721200189.3526592,mouse,move,"(1254, 218)"
1721200189.3546705,mouse,move,"(1248, 218)"
1721200189.3566494,mouse,move,"(1241, 219)"
1721200189.3586698,mouse,move,"(1235, 219)"
1721200189.3596673,mouse,move,"(1229, 219)"
1721200189.3622534,mouse,move,"(1223, 219)"
1721200189.3645904,mouse,move,"(1217, 219)"
1721200189.3665845,mouse,move,"(1211, 219)"
1721200189.368579,mouse,move,"(1204, 219)"
1721200189.3695772,mouse,move,"(1198, 219)"
1721200189.3921535,mouse,move,"(1192, 219)"
1721200189.3921535,mouse,move,"(1138, 219)"
1721200189.3921535,mouse,move,"(1132, 219)"
1721200189.3944683,mouse,move,"(1126, 219)"
1721200189.3964543,mouse,move,"(1121, 219)"
1721200189.3984256,mouse,move,"(1116, 219)"
1721200189.3994226,mouse,move,"(1110, 219)"
1721200189.4019494,mouse,move,"(1105, 219)"
1721200189.4042444,mouse,move,"(1099, 219)"
1721200189.4062388,mouse,move,"(1094, 219)"
1721200189.408233,mouse,move,"(1089, 219)"
1721200189.4102283,mouse,move,"(1084, 219)"
1721200189.4122782,mouse,move,"(1079, 219)"
1721200189.413727,mouse,move,"(1074, 219)"
1721200189.4157205,mouse,move,"(1069, 219)"
1721200189.4187136,mouse,move,"(1064, 219)"
1721200189.4197116,mouse,move,"(1059, 218)"
1721200189.4222257,mouse,move,"(1054, 218)"
1721200189.4245567,mouse,move,"(1049, 218)"
1721200189.42655,mouse,move,"(1044, 218)"
1721200189.4285445,mouse,move,"(1039, 218)"
1721200189.429642,mouse,move,"(1034, 218)"
1721200189.4321907,mouse,move,"(1029, 217)"
1721200189.4346623,mouse,move,"(1024, 217)"
1721200189.4366574,mouse,move,"(1019, 217)"
1721200189.4386516,mouse,move,"(1015, 217)"
1721200189.4596577,mouse,move,"(1011, 217)"
1721200189.461188,mouse,move,"(971, 216)"
1721200189.462254,mouse,move,"(967, 216)"
1721200189.4646642,mouse,move,"(963, 216)"
1721200189.4676573,mouse,move,"(960, 216)"
1721200189.4686532,mouse,move,"(956, 216)"
1721200189.469652,mouse,move,"(953, 216)"
1721200189.4721751,mouse,move,"(950, 216)"
1721200189.4742014,mouse,move,"(947, 216)"
1721200189.4761677,mouse,move,"(943, 216)"
1721200189.4781609,mouse,move,"(940, 216)"
1721200189.4801571,mouse,move,"(937, 216)"
1721200189.4822638,mouse,move,"(934, 216)"
1721200189.4845858,mouse,move,"(931, 216)"
1721200189.4865808,mouse,move,"(928, 216)"
1721200189.4885755,mouse,move,"(925, 216)"
1721200189.4895735,mouse,move,"(922, 216)"
1721200189.4920878,mouse,move,"(919, 216)"
1721200189.4940858,mouse,move,"(916, 216)"
1721200189.4960802,mouse,move,"(913, 216)"
1721200189.4981022,mouse,move,"(910, 216)"
1721200189.5000694,mouse,move,"(908, 217)"
1721200189.5021381,mouse,move,"(905, 217)"
1721200189.5041752,mouse,move,"(903, 217)"
1721200189.506169,mouse,move,"(900, 217)"
1721200189.5081644,mouse,move,"(898, 217)"
1721200189.5101585,mouse,move,"(896, 217)"
1721200189.5299685,mouse,move,"(893, 217)"
1721200189.5299685,mouse,move,"(876, 217)"
1721200189.5310106,mouse,move,"(873, 217)"
1721200189.5323417,mouse,move,"(871, 217)"
1721200189.5365798,mouse,move,"(869, 217)"
1721200189.5365798,mouse,move,"(867, 217)"
1721200189.5385747,mouse,move,"(864, 217)"
1721200189.5410783,mouse,move,"(862, 217)"
1721200189.5420878,mouse,move,"(860, 217)"
1721200189.5440836,mouse,move,"(858, 217)"
1721200189.5460782,mouse,move,"(855, 217)"
1721200189.5480728,mouse,move,"(853, 217)"
1721200189.5500672,mouse,move,"(851, 217)"
1721200189.5524905,mouse,move,"(848, 217)"
1721200189.5537403,mouse,move,"(846, 217)"
1721200189.5567353,mouse,move,"(843, 217)"
1721200189.55873,mouse,move,"(841, 217)"
1721200189.5597265,mouse,move,"(838, 217)"
1721200189.562239,mouse,move,"(836, 217)"
1721200189.564236,mouse,move,"(833, 217)"
1721200189.5662591,mouse,move,"(831, 217)"
1721200189.5682256,mouse,move,"(828, 217)"
1721200189.5702202,mouse,move,"(826, 217)"
1721200189.5722404,mouse,move,"(824, 217)"
1721200189.5744555,mouse,move,"(821, 217)"
1721200189.5764508,mouse,move,"(818, 217)"
1721200189.5784452,mouse,move,"(816, 217)"
1721200189.5986698,mouse,move,"(813, 217)"
1721200189.5997145,mouse,move,"(790, 217)"
1721200189.5997145,mouse,move,"(787, 217)"
1721200189.6022327,mouse,move,"(784, 217)"
1721200189.605682,mouse,move,"(782, 217)"
1721200189.6066782,mouse,move,"(779, 217)"
1721200189.608673,mouse,move,"(777, 217)"
1721200189.6096709,mouse,move,"(774, 217)"
1721200189.6121883,mouse,move,"(771, 217)"
1721200189.6141846,mouse,move,"(769, 217)"
1721200189.6161802,mouse,move,"(766, 217)"
1721200189.6181996,mouse,move,"(763, 217)"
1721200189.6201699,mouse,move,"(761, 217)"
1721200189.6222432,mouse,move,"(758, 217)"
1721200189.6246405,mouse,move,"(756, 217)"
1721200189.6266358,mouse,move,"(753, 217)"
1721200189.6286316,mouse,move,"(750, 217)"
1721200189.6296384,mouse,move,"(748, 217)"
1721200189.6321518,mouse,move,"(745, 217)"
1721200189.6341493,mouse,move,"(742, 217)"
1721200189.6361449,mouse,move,"(739, 217)"
1721200189.6381385,mouse,move,"(737, 217)"
1721200189.6401331,mouse,move,"(734, 217)"
1721200189.6416337,mouse,move,"(731, 217)"
1721200189.6439004,mouse,move,"(728, 216)"
1721200189.6458957,mouse,move,"(726, 216)"
1721200189.64789,mouse,move,"(724, 216)"
1721200189.6671915,mouse,move,"(699, 215)"
1721200189.6681893,mouse,move,"(697, 215)"
1721200189.6701849,mouse,move,"(694, 215)"
1721200189.6755404,mouse,move,"(692, 215)"
1721200189.6755404,mouse,move,"(690, 215)"
